rho_input,N_runs,N_collapse,collapse_frac,mean_T_theta,T_theta_SE,T_theta_CI_low,T_theta_CI_high,gamma,Gamma_SE,Gamma_CI_low,Gamma_CI_high,median_T_theta,q25_T_theta,q75_T_theta,skew_T_theta,kurt_T_theta,denominator_fac
-0.95,500,500,1.0,2445.5722,105.747657518432,2237.806669245439,2653.337730754561,0.00040890226017453095,1.768112025784766e-05,0.00037416364353835027,0.00044364087681071163,1777.7,852.6500000000001,3226.15,2.007436371894995,4.981990002075686,0.5128205128205129
-0.855,500,500,1.0,2426.787,104.57431060034331,2221.3267784212326,2632.247221578767,0.0004120674785220129,1.7756676827122147e-05,0.0003771804136734964,0.00044695454337052935,1651.2,874.6500000000001,3143.2,2.106084691373693,5.410737777060795,0.5390835579514824
-0.76,500,500,1.0,2181.3394000000003,86.27487646001971,2011.8326145151698,2350.846185484831,0.00045843393283961215,1.813167218307179e-05,0.0004228101035937775,0.0004940577620854467,1641.95,701.4750000000001,3082.9750000000004,1.4803799726425422,2.5806229327246246,0.5681818181818182
-0.6649999999999999,500,500,1.0,2470.8922000000002,100.76161852816355,2272.92288659423,2668.8615134057704,0.00040471211168176415,1.650393627492346e-05,0.00037228634301543457,0.0004371378803480937,1760.0,844.2,3395.3500000000004,1.6304838531438126,3.174765645262637,0.6006006006006006
-0.57,500,500,1.0,2485.6312000000003,103.35967198767575,2282.5574146029694,2688.704985397031,0.0004023122979788795,1.6729298841962175e-05,0.0003694437528534605,0.0004351808431042985,1777.4500000000003,827.225,3558.65,1.8069034107196185,4.203147197937137,0.6369426751592357
-0.475,500,500,1.0,2564.9144000000006,104.7551232702631,2359.0989304543787,2770.7298695456225,0.00038987655884344514,1.592316959265037e-05,0.0003585918395470839,0.0004211612781398064,1728.7,879.875,3709.8250000000003,1.6996281188313767,3.7104369387947296,0.6779661016949152
-0.3799999999999999,500,500,1.0,2421.3902000000003,96.2720016893097,2232.2417687517996,2610.538631248201,0.00041298589545790676,1.6419897472610846e-05,0.00038072524029646415,0.0004452465506193494,1755.1,926.1,3307.9,1.8344297323405876,4.531353618327735,0.7246376811594204
-0.2849999999999999,500,500,1.0,2329.8284000000003,97.92625924237733,2137.4298003170243,2522.2269996829764,0.0004292161602974708,1.804061319894113e-05,0.0003937712373140711,0.00046466108328087043,1664.9,786.375,3214.4500000000003,2.1979493792914195,8.386068984682186,0.7782101167315175
-0.18999999999999995,500,499,0.998,2523.9086172344687,107.79797283563845,2312.1137377194436,2735.7034967494938,0.00039621085849603124,1.6922453954826517e-05,0.000362962653523515,0.00042945906346854746,1772.4,838.5,3260.0,1.9164129208338554,4.386971127911036,0.8403361344537815
-0.09499999999999997,500,500,1.0,2237.4352000000003,88.27903417591283,2063.99078694658,2410.8796130534206,0.0004469403180927876,1.763423567105163e-05,0.00041229381698226937,0.0004815868192033059,1634.75,831.275,3093.2250000000004,1.8033088855765702,4.733849239167153,0.9132420091324202
0.0,500,500,1.0,2464.8954,97.17064073989263,2273.9813861972293,2655.8094138027705,0.0004056967285508343,1.5993299780332608e-05,0.00037427422241353823,0.00043711923468813034,1818.4,870.6,3420.9,1.6456971597569472,3.6102498191808117,1.0
0.09499999999999997,500,500,1.0,2271.4372000000003,89.11565035384243,2096.3490625528257,2446.525337447175,0.0004402498999311977,1.7272393069279098e-05,0.0004063143216152934,0.000474185478247102,1622.3000000000002,768.75,3304.8,1.3386431043194227,1.4982755950597664,1.1049723756906078
0.19000000000000017,500,500,1.0,2465.304,100.9080386900496,2267.0470105987392,2663.560989401261,0.00040562948829028794,1.6602932578790035e-05,0.00037300921867615254,0.00043824975790442334,1767.6000000000001,814.325,3447.4750000000004,1.6083298893548978,3.0006797281840525,1.234567901234568
0.28500000000000014,500,500,1.0,2455.7026,97.93694716206612,2263.283001447083,2648.1221985529173,0.00040721543398618385,1.6240336448673674e-05,0.00037530756764594643,0.00043912330032642126,1853.25,882.2,3316.35,2.0839249385472685,6.533505461438374,1.398601398601399
0.3800000000000001,500,500,1.0,2490.7007999999996,105.64539814709413,2283.13618123781,2698.2654187621893,0.0004014934270708068,1.702971828504519e-05,0.0003680346390359384,0.00043495221510567514,1749.8000000000002,852.375,3397.525,2.2391397646625326,7.453487773420154,1.612903225806452
0.4750000000000001,500,500,1.0,2444.81,97.78800439751339,2252.6830336741746,2636.9369663258253,0.00040902974055243555,1.6360454214378758e-05,0.0003768858753075376,0.0004411736057973335,1796.25,843.1,3463.6000000000004,1.6516180343474784,3.286065352192802,1.904761904761905
0.5700000000000001,500,500,1.0,2458.98,97.35819247214322,2267.697497796546,2650.262502203454,0.0004066726854224109,1.6101358116177616e-05,0.000375037873896739,0.0004383074969480828,1766.0500000000002,942.9000000000001,3253.9750000000004,1.716121132537,3.670312770013723,2.3255813953488373
0.665,500,500,1.0,2444.9914000000003,98.37750655329383,2251.706221462662,2638.2765785373385,0.00040899939361749895,1.645663887647977e-05,0.0003766665515400089,0.000441332235694989,1720.7,822.6,3407.425,1.7387709291974753,3.9368341109862826,2.985074626865672
0.76,500,500,1.0,2166.5252,85.78820049294399,1997.9746010915705,2335.0757989084295,0.0004615685984174105,1.8276796162943298e-05,0.00042565963982298523,0.0004974775570118358,1605.15,749.5500000000001,3147.525,1.49396068730442,2.649073909245793,4.166666666666667
0.855,500,500,1.0,2279.5106000000005,94.1201395683198,2094.5899955062614,2464.4312044937396,0.00043869065579251956,1.8113372997918794e-05,0.0004031027794935862,0.00047427853209145294,1686.45,806.7,2998.25,2.402658484512379,10.83321198675584,6.896551724137931
